"country","epiRank","epi2020","10yrChange","usn2021rank","ints2020rank","pop2022"
"Tajikistan","114","38.2000","-0.7000","","","9957.4640"
"Equatorial Guinea","115","38.1000","9.6000","","","1496.6620"
"Indonesia","116","37.8000","4.1000","49","57","279134.5050"
"Honduras","116","37.8000","6.5000","","","10221.2470"
"Kiribati","118","37.7000","6.2000","","","123.4190"
"Sao Tome and Principe","119","37.6000","5.3000","","","227.6790"
"China","120","37.3000","8.4000","19","50","1448471.4000"
"Samoa","120","37.3000","-3.9000","","","202.2390"
"Qatar","122","37.1000","-4.8000","28","34","2979.9150"
"Zimbabwe","123","37","-7.3000","","","15331.4280"
"Central African Republic","124","36.9000","-3.9000","","","5016.6780"
"DR Congo","125","36.4000","-0.4000","","","95240.7920"
"Guyana","126","35.9000","-6.4000","","","794.0450"
"Uganda","127","35.6000","1.8000","","","48432.8630"
"Maldives","127","35.6000","6.7000","","","540.9850"
"Timor-Leste","129","35.3000","-3","","","1369.4290"
"Sudan","130","34.8000","8.4000","","","45992.0200"
"Laos","130","34.8000","-2.8000","","","7481.0230"
"Kenya","132","34.7000","","54","53","56215.2210"
"Zambia","132","34.7000","-7.3000","","","19470.2340"
"Ethiopia","134","34.4000","0.2000","","","120812.6980"
"Fiji","134","34.4000","-2.6000","","","909.4660"
"Mozambique","136","33.9000","5.3000","","","33089.4610"
"Rwanda","137","33.8000","-1.5000","","","13600.4640"
"Eswatini","137","33.8000","-1.6000","","","1184.8170"
"Cameroon","139","33.6000","1.5000","","","27911.5480"
"Cambodia","139","33.6000","-0.2000","66","","17168.6390"
"Vietnam","141","33.4000","5.4000","52","56","98953.5410"
"Pakistan","142","33.1000","6.1000","","","229488.9940"
"Micronesia","143","33","-4.8000","","","117.4890"
"Nepal","145","32.7000","-8.1000","","","30225.5820"
"Papua New Guinea","146","32.4000","7.7000","","","9292.1690"
"Mongolia","147","32.2000","-7.6000","","","3378.0780"
"Comoros","148","32.1000","-1.2000","","","907.4190"
"Guatemala","149","31.8000","-0.3000","69","","18584.0390"
"Tanzania","150","31.1000","1.7000","","","63298.5500"
"Nigeria","151","31","3.6000","","","216746.9340"
"Niger","152","30.8000","-8.1000","","","26083.6600"
"Republic of the Congo","152","30.8000","-1.5000","","","5797.8050"
"Marshall Islands","152","30.8000","1.1000","","","60.0570"
"Senegal","155","30.7000","-2.7000","","","17653.6710"
"Eritrea","156","30.4000","-3.7000","","","3662.2440"
"Benin","157","30","2.7000","","","12784.7260"
"Angola","158","29.7000","5.3000","","","35027.3430"
"Togo","159","29.5000","-2.1000","","","8680.8370"
"Mali","160","29.4000","-3.3000","","","21473.7640"
"Guinea-Bissau","161","29.1000","-0.9000","","","2063.3670"
"Bangladesh","162","29","-0.1000","","","167885.6890"
"Vanuatu","163","28.9000","-11.9000","","","321.8320"
"Djibouti","164","28.1000","2.3000","","","1016.0970"
"Lesotho","165","28","-1","","","2175.6990"
"Gambia","166","27.9000","3.6000","","","2558.4820"
"Mauritania","167","27.7000","0.3000","","","4901.9810"
"India","168","27.6000","0","38","60","1406631.7760"
"Ghana","168","27.6000","-4.4000","","","32395.4500"
"Burundi","170","27","-11.1000","","","12624.8400"
"Haiti","170","27","4.2000","","","11680.2830"
"Chad","172","26.7000","-0.9000","","","17413.5800"
"Solomon Islands","172","26.7000","-2","","","721.1590"
"Madagascar","174","26.5000","-6.6000","","","29178.0770"
"Guinea","175","26.4000","-4.2000","","","13865.6910"
"Sierra Leone","177","25.7000","0.7000","","","8306.4360"
"Afghanistan","178","25.5000","5","","","40754.3880"
"Myanmar","179","25.1000","-1.2000","64","","55227.1430"
"Liberia","180","22.6000","-3.7000","","","5305.1170"
"Hong Kong","999","","","","51","7604.2990"
